v1	V(n002)	I(D1)
-2.040000000000063e+000	-2.039998e+000	-2.522041e-009
-2.030000000000063e+000	-2.029998e+000	-2.522030e-009
-2.020000000000064e+000	-2.019998e+000	-2.522020e-009
-2.010000000000064e+000	-2.009997e+000	-2.522010e-009
-2.000000000000064e+000	-1.999997e+000	-2.522000e-009
-1.990000000000064e+000	-1.989998e+000	-2.521990e-009
-1.980000000000064e+000	-1.979998e+000	-2.521980e-009
-1.970000000000064e+000	-1.969998e+000	-2.521970e-009
-1.960000000000064e+000	-1.959998e+000	-2.521960e-009
-1.950000000000064e+000	-1.949997e+000	-2.521950e-009
-1.940000000000064e+000	-1.939997e+000	-2.521940e-009
-1.930000000000064e+000	-1.929997e+000	-2.521930e-009
-1.920000000000064e+000	-1.919997e+000	-2.521920e-009
-1.910000000000064e+000	-1.909997e+000	-2.521910e-009
-1.900000000000064e+000	-1.899997e+000	-2.521900e-009
-1.890000000000064e+000	-1.889997e+000	-2.521890e-009
-1.880000000000064e+000	-1.879997e+000	-2.521880e-009
-1.870000000000064e+000	-1.869998e+000	-2.521870e-009
-1.860000000000064e+000	-1.859998e+000	-2.521860e-009
-1.850000000000064e+000	-1.849998e+000	-2.521850e-009
-1.840000000000064e+000	-1.839998e+000	-2.521840e-009
-1.830000000000064e+000	-1.829997e+000	-2.521830e-009
-1.820000000000064e+000	-1.819997e+000	-2.521820e-009
-1.810000000000064e+000	-1.809997e+000	-2.521810e-009
-1.800000000000064e+000	-1.799997e+000	-2.521800e-009
-1.790000000000064e+000	-1.789997e+000	-2.521790e-009
-1.780000000000064e+000	-1.779997e+000	-2.521780e-009
-1.770000000000064e+000	-1.769997e+000	-2.521770e-009
-1.760000000000064e+000	-1.759997e+000	-2.521760e-009
-1.750000000000064e+000	-1.749997e+000	-2.521750e-009
-1.740000000000064e+000	-1.739998e+000	-2.521740e-009
-1.730000000000064e+000	-1.729998e+000	-2.521730e-009
-1.720000000000064e+000	-1.719998e+000	-2.521720e-009
-1.710000000000064e+000	-1.709998e+000	-2.521710e-009
-1.700000000000064e+000	-1.699997e+000	-2.521700e-009
-1.690000000000064e+000	-1.689997e+000	-2.521690e-009
-1.680000000000064e+000	-1.679997e+000	-2.521680e-009
-1.670000000000064e+000	-1.669997e+000	-2.521670e-009
-1.660000000000064e+000	-1.659997e+000	-2.521660e-009
-1.650000000000064e+000	-1.649997e+000	-2.521650e-009
-1.640000000000064e+000	-1.639997e+000	-2.521640e-009
-1.630000000000064e+000	-1.629997e+000	-2.521630e-009
-1.620000000000064e+000	-1.619998e+000	-2.521620e-009
-1.610000000000064e+000	-1.609998e+000	-2.521610e-009
-1.600000000000064e+000	-1.599998e+000	-2.521600e-009
-1.590000000000064e+000	-1.589998e+000	-2.521590e-009
-1.580000000000064e+000	-1.579997e+000	-2.521580e-009
-1.570000000000064e+000	-1.569997e+000	-2.521570e-009
-1.560000000000064e+000	-1.559997e+000	-2.521560e-009
-1.550000000000064e+000	-1.549997e+000	-2.521550e-009
-1.540000000000064e+000	-1.539997e+000	-2.521540e-009
-1.530000000000064e+000	-1.529997e+000	-2.521530e-009
-1.520000000000064e+000	-1.519997e+000	-2.521520e-009
-1.510000000000064e+000	-1.509997e+000	-2.521510e-009
-1.500000000000064e+000	-1.499997e+000	-2.521500e-009
-1.490000000000064e+000	-1.489998e+000	-2.521490e-009
-1.480000000000064e+000	-1.479998e+000	-2.521480e-009
-1.470000000000064e+000	-1.469998e+000	-2.521470e-009
-1.460000000000064e+000	-1.459998e+000	-2.521460e-009
-1.450000000000064e+000	-1.449997e+000	-2.521450e-009
-1.440000000000064e+000	-1.439997e+000	-2.521440e-009
-1.430000000000063e+000	-1.429997e+000	-2.521430e-009
-1.420000000000063e+000	-1.419997e+000	-2.521420e-009
-1.410000000000063e+000	-1.409997e+000	-2.521410e-009
-1.400000000000063e+000	-1.399997e+000	-2.521400e-009
-1.390000000000063e+000	-1.389997e+000	-2.521390e-009
-1.380000000000063e+000	-1.379997e+000	-2.521380e-009
-1.370000000000063e+000	-1.369998e+000	-2.521370e-009
-1.360000000000063e+000	-1.359998e+000	-2.521360e-009
-1.350000000000063e+000	-1.349998e+000	-2.521350e-009
-1.340000000000063e+000	-1.339998e+000	-2.521340e-009
-1.330000000000063e+000	-1.329997e+000	-2.521330e-009
-1.320000000000063e+000	-1.319997e+000	-2.521320e-009
-1.310000000000063e+000	-1.309997e+000	-2.521310e-009
-1.300000000000063e+000	-1.299997e+000	-2.521300e-009
-1.290000000000063e+000	-1.289997e+000	-2.521290e-009
-1.280000000000063e+000	-1.279997e+000	-2.521280e-009
-1.270000000000063e+000	-1.269997e+000	-2.521270e-009
-1.260000000000063e+000	-1.259997e+000	-2.521260e-009
-1.250000000000063e+000	-1.249997e+000	-2.521250e-009
-1.240000000000063e+000	-1.239998e+000	-2.521240e-009
-1.230000000000063e+000	-1.229998e+000	-2.521230e-009
-1.220000000000063e+000	-1.219998e+000	-2.521220e-009
-1.210000000000063e+000	-1.209998e+000	-2.521210e-009
-1.200000000000063e+000	-1.199997e+000	-2.521200e-009
-1.190000000000063e+000	-1.189997e+000	-2.521190e-009
-1.180000000000063e+000	-1.179997e+000	-2.521180e-009
-1.170000000000063e+000	-1.169997e+000	-2.521170e-009
-1.160000000000063e+000	-1.159997e+000	-2.521160e-009
-1.150000000000063e+000	-1.149997e+000	-2.521150e-009
-1.140000000000063e+000	-1.139997e+000	-2.521140e-009
-1.130000000000063e+000	-1.129997e+000	-2.521130e-009
-1.120000000000063e+000	-1.119998e+000	-2.521120e-009
-1.110000000000063e+000	-1.109998e+000	-2.521110e-009
-1.100000000000063e+000	-1.099998e+000	-2.521100e-009
-1.090000000000063e+000	-1.089998e+000	-2.521090e-009
-1.080000000000063e+000	-1.079997e+000	-2.521080e-009
-1.070000000000063e+000	-1.069997e+000	-2.521070e-009
-1.060000000000063e+000	-1.059997e+000	-2.521060e-009
-1.050000000000063e+000	-1.049997e+000	-2.521050e-009
-1.040000000000063e+000	-1.039997e+000	-2.521040e-009
-1.030000000000063e+000	-1.029997e+000	-2.521030e-009
-1.020000000000063e+000	-1.019997e+000	-2.521020e-009
-1.010000000000063e+000	-1.009997e+000	-2.521010e-009
